asset,horizon_s,term,coef,se,pval,nobs,r2
ES,0,Intercept,0.0,0.0,,1764,
ES,0,emo_happy,0.0,0.0,,1764,
ES,0,emo_surprise,0.0,0.0,,1764,
ES,0,emo_anxious,0.0,0.0,,1764,
ES,0,pre_px_60,0.0,0.0,,1764,
ES,25,Intercept,0.05138001939226291,0.1564271667165585,0.7425641144180306,1764,0.001970951700973833
ES,25,emo_happy,-0.10441703885544815,0.23384870170717775,0.6552250148383686,1764,0.001970951700973833
ES,25,emo_surprise,3.1210154539429737,3.0833581920403117,0.31143618947293983,1764,0.001970951700973833
ES,25,emo_anxious,-0.056682854356479864,0.15654053716261268,0.7172795670274699,1764,0.001970951700973833
ES,25,pre_px_60,-0.02018899761421212,0.044423769007045526,0.6494949968334418,1764,0.001970951700973833
ES,50,Intercept,-0.0976665276998563,0.15444133431731744,0.5271347219095811,1764,0.004878524398008843
ES,50,emo_happy,0.2328437538251561,0.35222044842078,0.5085649072036724,1764,0.004878524398008843
ES,50,emo_surprise,3.322394350438714,3.2275683723319126,0.3033011407628653,1764,0.004878524398008843
ES,50,emo_anxious,0.09714288517200545,0.15442483095636797,0.5293080762750018,1764,0.004878524398008843
ES,50,pre_px_60,0.04842383147722725,0.045468444392939046,0.28687654483651015,1764,0.004878524398008843
ES,75,Intercept,0.10890065222861424,0.11540897946392517,0.3453708179303543,1764,0.003643965819790207
ES,75,emo_happy,-2.3241195276015096,1.3460127366993766,0.08422698440809172,1764,0.003643965819790207
ES,75,emo_surprise,2.9325890815831333,2.876101125132857,0.30789900764475386,1764,0.003643965819790207
ES,75,emo_anxious,-0.12893483851354545,0.11724020209148961,0.2714413370644153,1764,0.003643965819790207
ES,75,pre_px_60,-0.0022790856617416616,0.020919372430049793,0.9132451802573733,1764,0.003643965819790207
ES,100,Intercept,0.11736734566435258,0.0743994659749028,0.11467376045091555,1764,0.0007619792366386768
ES,100,emo_happy,-0.2036172556916816,0.16164518626405275,0.2077936476096427,1764,0.0007619792366386768
ES,100,emo_surprise,-0.17879564846236384,4.381287966695228,0.9674482248167712,1764,0.0007619792366386768
ES,100,emo_anxious,-0.14265303374220828,0.07822466729391872,0.06820767266822773,1764,0.0007619792366386768
ES,100,pre_px_60,-0.019045871856976468,0.03001139208085801,0.5256753633178628,1764,0.0007619792366386768
ES,125,Intercept,-0.17452304318529194,0.15505517856863102,0.26035416585890714,1764,0.0013348595772805227
