asset,spec,model,term,coef,se,pval,nobs,r2,meetings_used
ES,noFE,per_emotion_60s,Intercept,0.02090652162360157,0.06538641983346954,0.7491669680456353,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,emo_happy,0.6243901991920249,0.46913648678495173,0.18321037909539584,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,emo_surprise,-0.02367072808536667,0.11610334424818727,0.8384501131684825,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,emo_anxious,-0.03154205396133382,0.06455313053812511,0.6251096175802588,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,pre_px_60,-0.37570215584888333,0.023937991165714382,1.641406103153426e-55,1764,0.42697742646896264,16
ES,FE,per_emotion_60s,Intercept,-0.019454523512892508,0.010467413336558623,0.06308671538192098,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2021-11-03],0.02223130241692619,0.010489808872023837,0.034063105050145724,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2022-07-27],0.013983210189182239,0.00045020742287863954,8.495538041250766e-212,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2022-11-02],-0.014629950327405147,0.004108047798245277,0.0003690369372274082,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-03-22],0.0011239720678909706,0.0032477898027034047,0.7292879217074519,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-06-14],1.0199931399414002,0.01623655975477332,0.0,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-11-01],0.11110456022236481,0.007285089712443467,1.6224784540791471e-52,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-12-13],0.14737496571126757,0.025489923000316942,7.3951601797053685e-09,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-03-20],0.0003312596546731243,0.0060296818438622226,0.9561877266838307,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-06-12],0.47152224936585374,0.01806517360459436,3.5355666274812724e-150,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-09-18],-0.4148246146585552,0.0422479509050884,9.343975786799723e-23,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-11-07],-0.1904423664445335,0.012768521059349938,2.633159383806745e-50,1764,0.4299669345259073,16
