asset,model,term,coef,se,pval,nobs,r2
ES,noFE_plus_ZQ,Intercept,0.021509009750221846,0.083522130429628,0.7967737672079382,1507,0.4268777048381549
ES,noFE_plus_ZQ,emo_happy,0.7235664734110421,0.5456608706158375,0.18482746051349264,1507,0.4268777048381549
ES,noFE_plus_ZQ,emo_surprise,-0.02358946938161504,0.1333820472889865,0.8596211824729614,1507,0.4268777048381549
ES,noFE_plus_ZQ,emo_anxious,-0.04371851177832447,0.08333968202143895,0.5998736797444704,1507,0.4268777048381549
ES,noFE_plus_ZQ,pre_px_60,-0.37567698547997597,0.02405787420961843,5.704924286704603e-55,1507,0.4268777048381549
ES,noFE_plus_ZQ,target_surprise_bps,-0.0036408179840768705,0.013793944059030542,0.7918236729346136,1507,0.4268777048381549
ES,FE_no_ZQ,Intercept,-0.01945700127176471,0.010468892227751811,0.06309038590921855,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2021-11-03],0.022233853602524598,0.010491291620653747,0.03406786471029823,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2022-07-27],0.013983719381443879,0.00045027114529742066,9.40310610728011e-212,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2022-11-02],-0.014630378357171498,0.0041083584066251766,0.00036926904213581093,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2023-03-22],0.0011247415811395868,0.003248178061007555,0.7291409772470048,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2023-06-14],1.0201386010889149,0.016238846049068,0.0,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2023-11-01],0.1111187826923829,0.007286113626089642,1.6272369629119733e-52,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2023-12-13],0.14741057985849415,0.02549347471097052,7.369197461359053e-09,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2024-03-20],0.0003302971795024392,0.006030534122565625,0.9563210635392538,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2024-06-12],0.471591571798173,0.018067713839884987,3.520156310088268e-150,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2024-09-18],-0.41488166850169217,0.04225354540493044,9.33932138738954e-23,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2024-11-07],-0.1904701081275672,0.01277030442220949,2.629631399846109e-50,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2024-12-18],-0.03183552740184917,0.05305458474936639,0.5484713581755165,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2025-01-29],0.013933925545465367,0.0022562605731992137,6.588258221155627e-10,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2025-03-19],-0.10933608325436062,0.030838145298101433,0.0003918960326568289,1764,0.429966994274644
ES,FE_no_ZQ,C(meeting_id)[T.2025-05-07],0.23892557218846291,0.016020207098860265,2.6720025683061874e-50,1764,0.429966994274644
ES,FE_no_ZQ,emo_happy,0.7143225015712422,0.47055420912901663,0.12900303490947254,1764,0.429966994274644
ES,FE_no_ZQ,emo_surprise,0.18332866801489608,0.1926731736364681,0.34135024115460433,1764,0.429966994274644
ES,FE_no_ZQ,emo_anxious,0.09292934691448354,0.07088373777510143,0.1898541093845727,1764,0.429966994274644
ES,FE_no_ZQ,pre_px_60,-0.3763854413196014,0.024269740464062335,3.0425233335812877e-54,1764,0.429966994274644
ZT,noFE_plus_ZQ,Intercept,-0.1336024475368793,0.12818813943478838,0.2973017199707487,1507,0.3403028375715814
ZT,noFE_plus_ZQ,emo_happy,0.10850076901390819,0.1074659923633138,0.31267312997564156,1507,0.3403028375715814
ZT,noFE_plus_ZQ,emo_surprise,0.13928931954482895,0.13314629214074944,0.29549758725812636,1507,0.3403028375715814
ZT,noFE_plus_ZQ,emo_anxious,0.12986602330397534,0.12792796625943387,0.3100345229243169,1507,0.3403028375715814
ZT,noFE_plus_ZQ,pre_px_60,-0.2173916226247874,0.0400374912054818,5.6448413800199344e-08,1507,0.3403028375715814
ZT,noFE_plus_ZQ,target_surprise_bps,-0.028362004573820675,0.027364269070378134,0.29998700753001606,1507,0.3403028375715814
ZT,FE_no_ZQ,Intercept,-1.2186130444427234,0.06319472704574472,7.39586571582004e-83,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2021-11-03],1.2195333119694465,0.06308079402169493,2.8411680155291027e-83,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2022-07-27],1.2193859436450523,0.06280461177540289,5.702462902970627e-84,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2022-11-02],1.2112731307850544,0.06267322494715016,3.1961394822956364e-83,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2023-03-22],1.2210347475835048,0.06304058765532328,1.4089918942119995e-83,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2023-06-14],1.2211766924329008,0.06327956326852076,5.569760013541617e-83,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2023-11-01],1.008156263349799,0.046606471457913835,9.127504260508625e-104,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2023-12-13],1.2221106869089893,0.06307185734867589,1.2190168411875384e-83,1764,0.3540536211251838
ZT,FE_no_ZQ,C(meeting_id)[T.2024-03-20],1.2143322168694557,0.06255134713890799,5.949828416680126e-84,1764,0.3540536211251838
